"x","y","z","xy","xz","yz","x^2","y^2","z^2"
6.2903806112113,-15.3821392020995,41.0425309614877,-96.7595101958399,258.173140995182,-631.321924456082,39.5688882339031,236.610206432766,1684.48934772468
4.12312862988022,-16.0487426488911,38.980468367223,-66.1710302892229,160.721485131037,-625.587505158803,17.000189698538,257.562140610338,1519.47691412807
2.10594150200309,-16.3409940573461,37.2792789078715,-34.4131775693511,78.5079806168348,-609.180475095677,4.43498960985902,267.028086782222,1389.74463589087
0.261247946068164,-16.3730003023802,35.941033027968,-4.27741269997025,9.38952105812469,-588.462544634776,0.0682504893248344,268.075138901741,1291.75785511749
-1.40217687877667,-16.2300160850385,34.9398313535558,22.7573532966145,-48.9918236723121,-567.074024876745,1.96609999937588,263.413422120609,1220.79181501492
-2.88496079940285,-15.9704072135225,34.2356760504272,46.0739987615129,-98.7685833465375,-546.757687755561,8.32299881409116,255.053906565731,1172.08151462979
-4.19350544081482,-15.6308063317547,33.7834646766976,65.547871396536,-141.671142931306,-528.062793577135,17.5854878821435,244.322106580822,1141.32248556167
-5.3372355299088,-15.2319683625522,33.5380509992843,81.2966027350605,-179.000477397274,-510.850531762762,28.4860831017209,232.012860197792,1124.8008648306
-6.32670881317315,-14.7840698533284,33.4566689999874,93.5345050356204,-211.670602621637,-494.625731555501,40.0272444066828,218.568721428094,1119.34870057471
-7.17244491718867,-14.2910015962673,33.4998362103439,102.501421760682,-240.275729953534,-478.746212756716,51.4439660901057,204.232726624513,1122.23902611987
-7.88430058509653,-13.7536188575821,33.6315214623415,108.437665206029,-265.161024343226,-462.555127793637,62.1621957161535,189.162031679637,1131.07923587194
-8.47123241234509,-13.172076589401,33.8190575420727,111.583722142026,-286.48909640537,-445.467216125542,71.7617785839659,173.503601677046,1143.72865303403
-8.94131683005068,-12.5474099349099,34.0330532290377,112.190367624555,-304.300311614806,-427.026670201346,79.9471466553475,157.437496074676,1158.24871209051
-9.3019261405366,-11.882501431827,34.2474088191756,110.530150683675,-318.566867340733,-406.944884330217,86.5258299239982,141.19384027737,1172.88501082775
